ClaimID,ScenarioID,CustomerID,ProductID,ProductCategory,Brand,ModelNumber,SerialNumber,PurchaseDate,ClaimDate,FaultDate,WarrantyDurationMonths,WarrantyExpiryDate,WarrantyStatus,WarrantyRemainingDays,ExtendedWarranty,FaultType,DamageType,FaultCovered,ClaimReportingWithinPeriod,ReceiptAvailable,WarrantyCardAvailable,ProductImageAvailable,SerialEvidenceAvailable,FaultEvidenceAvailable,RepairReportAvailable,PreviousRepair,RepairCount,RepairAuthorized,PreviousReplacement,ReplacementWithinWarranty,SerialNumberMatch,ProductModelConsistent,DuplicateClaimIndicator,DocumentDuplicateIndicator,ContradictionIndicator,RequiredDocumentsComplete,PurchaseProofAvailable,PriorClaimCount,ClaimAmount,PreviousRepairCost,OCRConfidence,ClaimSubmissionChannel,ClaimClass
CLM00023,VALID_23,CUS00023,PROD00023,Printer,ZenCore,ZEN-PRI-0023,SN-2026-000023,2024-10-22,2025-08-22,2025-08-11,12,2025-10-22,Active,61,Yes,Battery Problem,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,2861.16,0.0,0.969,Web,Valid Claim
CLM00024,VALID_24,CUS00024,PROD00024,Laptop,HomePro,HOM-LAP-0024,SN-2026-000024,2024-12-10,2027-02-10,2027-02-05,36,2027-12-10,Active,303,Yes,Water Leakage,Electrical Failure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,1594.64,0.0,0.917,Service Center,Valid Claim
CLM00025,VALID_25,CUS00025,PROD00025,Air Conditioner,PrimeView,PRI-AIR-0025,SN-2026-000025,2024-08-23,2026-08-23,2026-08-20,36,2027-08-23,Active,365,Yes,Overheating,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,1754.38,0.0,0.904,Service Center,Valid Claim
CLM00026,VALID_26,CUS00026,PROD00026,Printer,PrimeView,PRI-PRI-0026,SN-2026-000026,2024-06-29,2025-03-29,2025-03-27,24,2026-06-29,Active,457,No,Mechanical Failure,Electrical Failure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,Yes,No,N/A,Yes,Yes,No,No,No,Yes,Yes,0,2877.41,557.76,0.941,Email,Valid Claim
CLM00027,VALID_27,CUS00027,PROD00027,Laptop,ZenCore,ZEN-LAP-0027,SN-2026-000027,2023-10-13,2024-07-13,2024-06-30,12,2024-10-13,Active,92,No,Mechanical Failure,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,1267.52,0.0,0.911,Service Center,Valid Claim
CLM00028,VALID_28,CUS00028,PROD00028,Air Conditioner,Aster,AST-AIR-0028,SN-2026-000028,2025-04-08,2025-10-08,2025-10-06,12,2026-04-08,Active,182,No,Water Leakage,Electrical Failure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,0,2339.62,0.0,0.937,Web,Valid Claim
CLM00029,VALID_29,CUS00029,PROD00029,Smartphone,HomePro,HOM-SMA-0029,SN-2026-000029,2025-03-21,2026-07-21,2026-07-14,36,2028-03-21,Active,609,No,Water Leakage,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,1813.64,0.0,0.914,Email,Valid Claim
CLM00030,VALID_30,CUS00030,PROD00030,Refrigerator,Aster,AST-REF-0030,SN-2026-000030,2023-06-09,2024-08-09,2024-07-27,24,2025-06-09,Active,304,No,Display Failure,Electrical Failure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,146.66,0.0,0.965,Web,Valid Claim
CLM00031,VALID_31,CUS00031,PROD00031,Camera,ZenCore,ZEN-CAM-0031,SN-2026-000031,2023-01-28,2023-11-28,2023-11-20,12,2024-01-28,Active,61,No,Battery Problem,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,0,1506.86,0.0,0.921,Web,Valid Claim
CLM00032,VALID_32,CUS00032,PROD00032,Camera,HomePro,HOM-CAM-0032,SN-2026-000032,2026-01-20,2026-11-20,2026-11-18,24,2028-01-20,Active,426,Yes,Mechanical Failure,Electrical Failure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,0,2223.96,0.0,0.954,Mobile App,Valid Claim
CLM00033,VALID_33,CUS00033,PROD00033,Camera,NovaTech,NOV-CAM-0033,SN-2026-000033,2024-01-16,2024-03-16,2024-03-09,24,2026-01-16,Active,671,No,Battery Problem,Electrical Failure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,2895.32,0.0,0.95,Mobile App,Valid Claim
CLM00034,VALID_34,CUS00034,PROD00034,Printer,ZenCore,ZEN-PRI-0034,SN-2026-000034,2026-03-10,2027-06-10,2027-06-05,24,2028-03-10,Active,274,Yes,Display Failure,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,0,2666.23,0.0,0.947,Web,Valid Claim
CLM00035,VALID_35,CUS00035,PROD00035,Smartphone,Aster,AST-SMA-0035,SN-2026-000035,2025-02-28,2027-11-28,2027-11-26,36,2028-02-28,Active,92,No,Display Failure,Electrical Failure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,852.5,0.0,0.923,Mobile App,Valid Claim
CLM00036,VALID_36,CUS00036,PROD00036,Washing Machine,Aster,AST-WAS-0036,SN-2026-000036,2024-11-26,2025-01-26,2025-01-21,12,2025-11-26,Active,304,No,Mechanical Failure,Electrical Failure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,Yes,No,N/A,Yes,Yes,No,No,No,Yes,Yes,0,92.02,313.55,0.909,Service Center,Valid Claim
CLM00037,VALID_37,CUS00037,PROD00037,Air Conditioner,ZenCore,ZEN-AIR-0037,SN-2026-000037,2024-02-19,2024-09-19,2024-09-17,36,2027-02-19,Active,883,No,Water Leakage,Electrical Failure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,0,2423.59,0.0,0.928,Mobile App,Valid Claim
CLM00038,VALID_38,CUS00038,PROD00038,Printer,Aster,AST-PRI-0038,SN-2026-000038,2026-02-21,2027-05-21,2027-05-12,24,2028-02-21,Active,276,Yes,Battery Problem,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,693.68,0.0,0.981,Email,Valid Claim
CLM00039,VALID_39,CUS00039,PROD00039,Refrigerator,Aster,AST-REF-0039,SN-2026-000039,2023-02-20,2024-08-20,2024-08-07,36,2026-02-20,Active,549,No,Power Failure,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,1063.84,0.0,0.947,Email,Valid Claim
CLM00040,VALID_40,CUS00040,PROD00040,Washing Machine,Aster,AST-WAS-0040,SN-2026-000040,2023-12-27,2024-09-27,2024-09-19,24,2025-12-27,Active,456,No,Water Leakage,Electrical Failure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,0,2360.57,0.0,0.977,Web,Valid Claim
CLM00041,VALID_41,CUS00041,PROD00041,Refrigerator,PrimeView,PRI-REF-0041,SN-2026-000041,2023-08-31,2023-12-31,2023-12-24,12,2024-08-31,Active,244,No,Connectivity Issue,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,0,2979.03,0.0,0.933,Service Center,Valid Claim
CLM00042,VALID_42,CUS00042,PROD00042,Smartphone,Aster,AST-SMA-0042,SN-2026-000042,2025-07-14,2026-01-14,2026-01-03,12,2026-07-14,Active,181,No,Battery Problem,Electrical Failure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,2118.46,0.0,0.94,Service Center,Valid Claim
CLM00043,VALID_43,CUS00043,PROD00043,Smartphone,ZenCore,ZEN-SMA-0043,SN-2026-000043,2024-05-26,2026-02-26,2026-02-25,24,2026-05-26,Active,89,No,Noise,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,0,1025.41,0.0,0.942,Service Center,Valid Claim
CLM00044,VALID_44,CUS00044,PROD00044,Printer,Aster,AST-PRI-0044,SN-2026-000044,2024-07-18,2025-02-18,2025-02-11,12,2025-07-18,Active,150,No,Connectivity Issue,Electrical Failure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,2446.87,0.0,0.95,Email,Valid Claim
CLM00045,VALID_45,CUS00045,PROD00045,Refrigerator,Aster,AST-REF-0045,SN-2026-000045,2025-01-02,2025-08-02,2025-07-28,24,2027-01-02,Active,518,No,Mechanical Failure,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,0,1668.49,0.0,0.946,Web,Valid Claim
CLM00046,VALID_46,CUS00046,PROD00046,Laptop,ZenCore,ZEN-LAP-0046,SN-2026-000046,2023-09-13,2025-03-13,2025-03-04,24,2025-09-13,Active,184,No,Battery Problem,Electrical Failure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,0,471.22,0.0,0.931,Web,Valid Claim
CLM00047,VALID_47,CUS00047,PROD00047,Washing Machine,PrimeView,PRI-WAS-0047,SN-2026-000047,2025-04-08,2027-01-08,2027-01-05,24,2027-04-08,Active,90,No,Noise,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,2771.99,0.0,0.936,Email,Valid Claim
CLM00048,VALID_48,CUS00048,PROD00048,Air Conditioner,Aster,AST-AIR-0048,SN-2026-000048,2024-02-05,2024-10-05,2024-09-23,24,2026-02-05,Active,488,No,Overheating,Electrical Failure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,2529.07,0.0,0.946,Mobile App,Valid Claim
CLM00049,VALID_49,CUS00049,PROD00049,Refrigerator,Aster,AST-REF-0049,SN-2026-000049,2024-03-30,2025-05-30,2025-05-26,24,2026-03-30,Active,304,Yes,Power Failure,Electrical Failure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,2016.69,0.0,0.964,Web,Valid Claim
CLM00050,VALID_50,CUS00050,PROD00050,Television,PrimeView,PRI-TEL-0050,SN-2026-000050,2024-08-13,2026-04-13,2026-03-30,36,2027-08-13,Active,487,Yes,Overheating,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,578.64,0.0,0.931,Web,Valid Claim
CLM00051,VALID_51,CUS00051,PROD00051,Smartphone,PrimeView,PRI-SMA-0051,SN-2026-000051,2023-10-02,2025-02-02,2025-01-25,36,2026-10-02,Active,607,Yes,Battery Problem,Electrical Failure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,0,771.0,0.0,0.907,Web,Valid Claim
CLM00052,VALID_52,CUS00052,PROD00052,Smartphone,Aster,AST-SMA-0052,SN-2026-000052,2025-10-07,2026-01-07,2026-01-06,12,2026-10-07,Active,273,No,Battery Problem,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,0,2450.6,0.0,0.927,Email,Valid Claim
CLM00053,VALID_53,CUS00053,PROD00053,Refrigerator,Aster,AST-REF-0053,SN-2026-000053,2024-05-21,2024-10-21,2024-10-07,24,2026-05-21,Active,577,No,Water Leakage,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,0,2430.93,0.0,0.983,Email,Valid Claim
CLM00054,VALID_54,CUS00054,PROD00054,Air Conditioner,PrimeView,PRI-AIR-0054,SN-2026-000054,2025-11-05,2026-06-05,2026-06-04,12,2026-11-05,Active,153,No,Water Leakage,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,0,1068.92,0.0,0.954,Web,Valid Claim
CLM00055,VALID_55,CUS00055,PROD00055,Laptop,NovaTech,NOV-LAP-0055,SN-2026-000055,2024-01-13,2025-01-13,2025-01-02,36,2027-01-13,Active,730,No,Mechanical Failure,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,632.35,0.0,0.939,Service Center,Valid Claim
CLM00056,VALID_56,CUS00056,PROD00056,Air Conditioner,NovaTech,NOV-AIR-0056,SN-2026-000056,2024-03-16,2026-08-16,2026-08-06,36,2027-03-16,Active,212,No,Connectivity Issue,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,Yes,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,2372.57,147.15,0.959,Email,Valid Claim
CLM00057,VALID_57,CUS00057,PROD00057,Air Conditioner,NovaTech,NOV-AIR-0057,SN-2026-000057,2023-07-06,2024-03-06,2024-03-04,12,2024-07-06,Active,122,No,Water Leakage,Electrical Failure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,0,375.91,0.0,0.929,Service Center,Valid Claim
CLM00058,VALID_58,CUS00058,PROD00058,Laptop,HomePro,HOM-LAP-0058,SN-2026-000058,2024-05-23,2025-08-23,2025-08-22,24,2026-05-23,Active,273,No,Display Failure,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,0,1473.8,0.0,0.96,Email,Valid Claim
CLM00059,VALID_59,CUS00059,PROD00059,Laptop,HomePro,HOM-LAP-0059,SN-2026-000059,2024-04-27,2024-08-27,2024-08-15,12,2025-04-27,Active,243,No,Noise,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,0,1758.47,0.0,0.986,Service Center,Valid Claim
CLM00060,VALID_60,CUS00060,PROD00060,Camera,Aster,AST-CAM-0060,SN-2026-000060,2025-01-24,2027-06-24,2027-06-20,36,2028-01-24,Active,214,No,Noise,Electrical Failure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,670.47,0.0,0.96,Service Center,Valid Claim
CLM00061,VALID_61,CUS00061,PROD00061,Refrigerator,NovaTech,NOV-REF-0061,SN-2026-000061,2026-01-28,2027-10-28,2027-10-15,24,2028-01-28,Active,92,No,Noise,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,0,1964.81,0.0,0.988,Web,Valid Claim
CLM00062,VALID_62,CUS00062,PROD00062,Printer,ZenCore,ZEN-PRI-0062,SN-2026-000062,2024-05-13,2024-08-13,2024-08-04,12,2025-05-13,Active,273,No,Noise,Electrical Failure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,0,1555.35,0.0,0.933,Email,Valid Claim
CLM00063,VALID_63,CUS00063,PROD00063,Printer,PrimeView,PRI-PRI-0063,SN-2026-000063,2025-10-26,2028-07-26,2028-07-21,36,2028-10-26,Active,92,No,Connectivity Issue,Electrical Failure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,0,817.75,0.0,0.988,Mobile App,Valid Claim
CLM00064,VALID_64,CUS00064,PROD00064,Air Conditioner,ZenCore,ZEN-AIR-0064,SN-2026-000064,2025-12-07,2027-10-07,2027-10-05,24,2027-12-07,Active,61,No,Connectivity Issue,Electrical Failure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,0,1537.99,0.0,0.909,Mobile App,Valid Claim
CLM00065,VALID_65,CUS00065,PROD00065,Laptop,PrimeView,PRI-LAP-0065,SN-2026-000065,2024-02-18,2024-05-18,2024-05-04,12,2025-02-18,Active,276,No,Connectivity Issue,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,1083.32,0.0,0.917,Email,Valid Claim
